id,x1,y1,x2,y2,center_x,center_y,confidence,class
1,219.19,31.52,242.85,81.75,231.02,56.63,0.7810,person
2,31.24,35.59,62.98,83.81,47.11,59.70,0.7735,person
3,133.57,228.66,167.02,255.94,150.29,242.30,0.7350,person
4,218.01,132.98,248.20,181.24,233.11,157.11,0.7331,person
5,568.48,227.51,592.63,255.95,580.56,241.73,0.7025,person
6,612.00,332.35,629.03,366.83,620.52,349.59,0.6745,person
7,550.92,413.25,577.45,459.73,564.19,436.49,0.6745,person
8,172.41,219.29,212.18,255.84,192.30,237.56,0.6321,person
9,609.01,430.06,633.09,459.94,621.05,445.00,0.6233,person
10,399.82,599.65,426.31,663.73,413.07,631.69,0.6088,person
11,725.60,29.72,744.12,54.73,734.86,42.22,0.6041,person
12,571.55,451.58,584.58,459.96,578.06,455.77,0.6009,person
13,367.51,237.05,387.26,256.00,377.39,246.53,0.5954,person
14,510.49,503.95,529.23,556.88,519.86,530.42,0.5946,person
15,447.43,642.87,459.97,663.90,453.70,653.39,0.5945,person
16,457.19,225.80,476.08,255.88,466.64,240.84,0.5873,person
17,313.87,92.89,333.27,129.90,323.57,111.40,0.5812,person
18,607.77,566.96,631.73,608.73,619.75,587.85,0.5762,person
19,514.48,652.69,536.90,663.93,525.69,658.31,0.5735,person
20,541.30,448.04,560.35,459.93,550.82,453.99,0.5710,person
21,575.33,298.23,597.94,337.24,586.64,317.74,0.5643,person
22,658.37,231.42,674.37,255.99,666.37,243.71,0.5623,person
23,717.03,353.06,739.36,383.23,728.19,368.14,0.5617,person
24,802.72,620.95,834.71,663.87,818.71,642.41,0.5591,person
25,127.66,643.38,164.70,681.89,146.18,662.63,0.5583,person
26,220.42,171.32,249.06,234.35,234.74,202.83,0.5479,person
27,551.07,156.34,572.07,188.64,561.57,172.49,0.5463,person
28,676.07,376.43,717.15,457.77,696.61,417.10,0.5434,person
29,534.89,90.45,555.43,122.11,545.16,106.28,0.5427,person
30,365.09,235.14,387.12,279.39,376.10,257.26,0.5368,person
31,485.61,231.85,504.60,255.86,495.11,243.85,0.5323,person
32,718.80,606.21,752.34,658.26,735.57,632.24,0.5197,person
33,163.94,317.45,182.69,347.04,173.31,332.25,0.5170,person
34,428.87,197.36,447.87,224.49,438.37,210.92,0.5161,person
35,749.62,106.36,770.51,144.77,760.06,125.57,0.5151,person
